id	path	sample
WPP000_018hrs_rep1	/project/cncb/shared/proj140/analyses/novogene_sequencing/single_cell/20250304_run_1/fastq/X204SC25012818-Z01-F001_002/01.RawData/S1	S1-SCI7T012-SCI5T012_22LCK7LT4,S1-SCI7T012-SCI5T012_22LJMVLT4,S1-SCI7T012-SCI5T012_22LVGMLT4,S1-SCI7T012-SCI5T012_22LVJ3LT4,S1-SCI7T012-SCI5T012_22M5WWLT4,S1-SCI7T012-SCI5T012_22MGLTLT4
WPP000_018hrs_rep2	/project/cncb/shared/proj140/analyses/novogene_sequencing/single_cell/20250304_run_1/fastq/X204SC25012818-Z01-F001_003/01.RawData/S2	S2-SCI7T024-SCI5T024_22LCK7LT4,S2-SCI7T024-SCI5T024_22LJMVLT4,S2-SCI7T024-SCI5T024_22LVGMLT4,S2-SCI7T024-SCI5T024_22LVJ3LT4,S2-SCI7T024-SCI5T024_22M5WWLT4,S2-SCI7T024-SCI5T024_22MGLTLT4
WPP000_018hrs_rep3	/project/cncb/shared/proj140/analyses/novogene_sequencing/single_cell/20250304_run_1/fastq/X204SC25012818-Z01-F001_004/01.RawData/S3	S3-SCI7T036-SCI5T036_22LCK7LT4,S3-SCI7T036-SCI5T036_22LJMVLT4,S3-SCI7T036-SCI5T036_22LVGMLT4,S3-SCI7T036-SCI5T036_22LVJ3LT4,S3-SCI7T036-SCI5T036_22M5WWLT4
WPP000_018hrs_rep4	/project/cncb/shared/proj140/analyses/novogene_sequencing/single_cell/20250304_run_1/fastq/X204SC25012818-Z01-F001_005/01.RawData/S4	S4-SCI7T048-SCI5T048_22LCK7LT4,S4-SCI7T048-SCI5T048_22LJMVLT4,S4-SCI7T048-SCI5T048_22LVGMLT4,S4-SCI7T048-SCI5T048_22LVJ3LT4,S4-SCI7T048-SCI5T048_22M5WWLT4
WPP000_018hrs_rep5	/project/cncb/shared/proj140/analyses/novogene_sequencing/single_cell/20250304_run_1/fastq/X204SC25012818-Z01-F001_006/01.RawData/S5	S5-SCI7T060-SCI5T060_22LCK7LT4,S5-SCI7T060-SCI5T060_22LJMVLT4,S5-SCI7T060-SCI5T060_22LVGMLT4,S5-SCI7T060-SCI5T060_22LVJ3LT4,S5-SCI7T060-SCI5T060_22M5WWLT4,S5-SCI7T060-SCI5T060_22MGLTLT4
WPP000_018hrs_rep6	/project/cncb/shared/proj140/analyses/novogene_sequencing/single_cell/20250304_run_1/fastq/X204SC25012818-Z01-F001_007/01.RawData/S6	S6-SCI7T072-SCI5T072_22LCK7LT4,S6-SCI7T072-SCI5T072_22LVGMLT4,S6-SCI7T072-SCI5T072_22LVJ3LT4,S6-SCI7T072-SCI5T072_22M57HLT4,S6-SCI7T072-SCI5T072_22M5WWLT4,S6-SCI7T072-SCI5T072_22MGLTLT4
WPP000_018hrs_rep7	/project/cncb/shared/proj140/analyses/novogene_sequencing/single_cell/20250304_run_1/fastq/X204SC25012818-Z01-F001_008/01.RawData/S7	S7-SCI7T084-SCI5T084_22LCK7LT4,S7-SCI7T084-SCI5T084_22LVGMLT4,S7-SCI7T084-SCI5T084_22LVJ3LT4,S7-SCI7T084-SCI5T084_22M57HLT4,S7-SCI7T084-SCI5T084_22M5WWLT4
WPP000_018hrs_rep8	/project/cncb/shared/proj140/analyses/novogene_sequencing/single_cell/20250304_run_1/fastq/X204SC25012818-Z01-F001_009/01.RawData/S8	S8-SCI7T096-SCI5T096_22LCK7LT4,S8-SCI7T096-SCI5T096_22LVGMLT4,S8-SCI7T096-SCI5T096_22LVJ3LT4,S8-SCI7T096-SCI5T096_22M57HLT4,S8-SCI7T096-SCI5T096_22M5WWLT4,S8-SCI7T096-SCI5T096_22MGLTLT4
